,BS - Year 1,,,,,,,,,,,,BS - Year 2,,,,,,BS - Year 3,,,,,,BS - Year 4,,,,MS - Year 1,,,,,MS - Year 2,
,B19-01,,B19-02,,B19-03,,B19-04,,B19-05,,B19-06,,B18-01,B18-02,B18-03,B18-04,B18-05,B18-06,B17-DS-01,B17-DS-02,B17-SE-01,B17-SE-02,B17-SB-01,B17-RO-01,B16-SE-01,B16-RO-01,B16-DS-01,B16-DS-02,M19-SE-01,M19-SE-02,M19-DS-01,M19-DS-02,M19-RO-01,M18-RO-01,
12:10-13:40,English (1),,English (3),English (4),,,,,,,,,Networks (tutorial),,,,,,Game theory (Lab),,Game theory (Lab),Lean Software Development (Lab),Game theory (Lab),Mechanics and Machines (Lab),,,,,,,,,,,
,Rabab Marouf,,Georgy Gelvanovsky,Guzel Fazlyeva,,,,,,,,,Artem Burmyakov / Vadim Rashitov,,,,,,Munir Makhmutov,,Manuel Rodriguez,Ilya Khomyakov,Nikita Bogomazov,Oleg Bulichev,,,,,,,,,,,
,101,,102,104,,,,,,,,,105,,,,,,316,,312,303,314,318,,,,,,,,,,,"101, 102, 104, 105, 316, 312, 303, 314, 318"
14:10-15:40,Theoretical Computer Science (Lab),,,,English (5),,Theoretical Computer Science (Lab),,Theoretical Computer Science (Lab),,English (11),English (12),Networks (Lab),,Networks (Lab),,Networks (Lab),,,Game theory (Lab),Lean Software Development (Lab),Game theory (Lab),,Mechatronics (Lec),Mobile Development (Lec),Mechatronics (Lec),,,Architectures of software systems (Lec),,,,,,
,Swati Megha,,,,Rabab Marouf,,Mansur Khazeev,,Naumcheva Mariya,,Georgy Gelvanovsky,Guzel Fazlyeva,Vadim Rashitov,,Marat Mingazov,,Pal Sourabh,,,Munir Makhmutov,Ilya Khomyakov,Manuel Rodriguez,,Igor Gaponov,Alexander Simonenko,Igor Gaponov,,,Artem Kruglov / Mohamad Kassab,,,,,,
,314,,,,101,,318,,312,,102,104,317,,301,,320,,,316,303,321,,306,313,306,,,300,,,,,,"314, 101, 318, 312, 102, 104, 317, 301, 320, 316, 303, 321, 306, 313, 306, 300"
15:45-17:15,,,Theoretical Computer Science (Lab),,Theoretical Computer Science (Lab),,English (7),,English (9),English (10),Theoretical Computer Science (Lab),,,Networks (Lab.),,Networks (Lab),,Networks (Lab),,,,,,Mechatronics (Lab),Mobile Development (Lab),Mechatronics (Lab),,,Architectures of software systems (30.01; 06.02; 27.02; 09.04),,,,,,
,,,Swati Megha,,Mansur Khazeev,,Rabab Marouf,,Georgy Gelvanovsky,Guzel Fazlyeva,Naumcheva Mariya,,,Vadim Rashitov,,Marat Mingazov,,Pal Sourabh,,,,,,Stanislav Mikhel,Alexander Simonenko,Stanislav Mikhel,,,Mohamad Kassab,,,,,,
,,,314,,318,,101,,102,104,312,,,317,,301,,320,,,,,,306,313,306,,,300,,,,,,"314, 318, 101, 102, 104, 312, 317, 301, 320, 306, 313, 306, 300"
17:20-18:50,,,,,,,,,,,,,,,,,,,Project (DS/ SE/ R/ SBC) [if announced],,,,,,Philosophy,,,,,,,,,,
